Bib ID,Object Type,Parent ARK,Item ARK,File Name,Title,Thumbnail,Item Sequence,AltTitle.other,AltTitle.uniform,Author,Place of origin,Date.creation,Date.normalized,Colophon,Description.note,Note,Summary,Representative image,Masthead,Language,References,Provenance,Table of Contents,Format.extent,Type.typeOfResource,Type.genre,Subject topic,Name.repository,AltIdentifier.local,Rights.copyrightStatus,Rights.servicesContact,Text direction,viewingHint,Opac url,Note.admin,IIIF Manifest URL
1986247,Work,ark:/21198/n1r89q,ark:/21198/n1mp6g,,Jūsanbutsu shō | 十三仏抄,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mp6g%2Fsw43zc5x,,十三佛抄 [variant title],,,Kyoto : Ōwada Ikan | 京都 : 大和田意閑,Kanʼei 19 [1642] | 寬永19,1642,（刊記）「寛永拾九壬午歳九月吉日／大和田意閑板行」,Commentary on Thirteen Buddhas|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,42 leaves ; 262 x 190 mm,text,,Buddhist gods--Japan|~|Buddhist cults--Japan,"Richard C. Rudolph East Asian Library, UCLA","BQ4660.J3 J87 1642|~|Jun Suzuki, no.0149",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9919862473606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1mp6g/manifest
1988639,Work,ark:/21198/n1r89q,ark:/21198/n1h058,,Shittan denshō nikki kusetsu | 悉曇伝承日記口説,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1h058%2Fsw43zc5x,,悉曇傳承日記口說 [variant title],,"Kaichō, active 1759-1828 | 快澄, active 1759-1828|~|Ryōjitsu, active 1813 | 良實, active 1813",,Bunka 10 [1813] | 文化10,1813,（奥書）「文化十癸酉年九月十八日於西蔭草堂書写功畢（略）」,[Listed] Words from the Diary of Siddhaṃ Transmissions|~|Suzuki subject: 仏教－総記－因明・悉曇,,,,,jpn,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,55 unnumbered leaves ; 230 x 165 mm,text,Manuscripts,Sanskrit philology--Study and teaching--Japan,"Richard C. Rudolph East Asian Library, UCLA","BQ4570.L3 K353 1813|~|Jun Suzuki, no.0060",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9919886393606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1h058/manifest
1988640,Work,ark:/21198/n1r89q,ark:/21198/n1c62z,,Shittan denshō nikki | 悉曇伝承日記,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1c62z%2Fsw43zc5x,,悉曇傳承日記 [variant title],,"Kaichō, active 1759-1828 | 快澄, active 1759-1828|~|Ryōjitsu, active 1813 | 良實, active 1813",,Bunka 5 [1808] | 文化5,1808,（奥書）「右文化五年戊辰五月尽日　妙智観理述之」,Diary of Siddhaṃ Transmissions|~|Suzuki subject: 仏教－総記－因明・悉曇,,,,,jpn,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,8 unnumbered leaves ; 232 x 164 mm,text,Manuscripts,Sanskrit philology--Study and teaching--Japan,"Richard C. Rudolph East Asian Library, UCLA","BQ4570.L3 K35 1808|~|Jun Suzuki, no.0059",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9919886403606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1c62z/manifest
1999304,Work,ark:/21198/n1r89q,ark:/21198/n17h02,,Sōjō hasso | 相承八祖,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn17h02%2Fsw43zc5x,,,Kechimyaku | 血脈,"Gyōhan, active 1733-1765 | 行範, active 1733-1765",,Kyōhō 18 [1733] | 享保18,1733,（奥書）「于時享保十八歳三月十二日書写之了／金剛乗行範」,Mutual Transmissions of the Eight Patriarchs|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,18 unnumbered leaves : genealogical tables ; 242 x 175 mm,text,Manuscripts|~|Early works,Shingon priests--Early works to 1800|~|Buddhist priests--Lineage--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ8998 .K43 1733|~|Jun Suzuki, no.016",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9919993043606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn17h02/manifest
1999305,Work,ark:/21198/n1r89q,ark:/21198/n13p76,,Kechimyaku | 血脈,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn13p76%2Fsw43zc5x,,血脉 [variant title],,"Gyōhan, active 1733-1765 | 行範, active 1733-1765",,Meiwa 2 [1765] | 明和2,1765,（奥書）「明和二乙酉菊月七日書之了　宝珠山金光寺行範」,Lineage [lit. Arteries and Veins]|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,23 unnumbered leaves : genealogical tables ; 271 x 202 mm,text,Manuscripts|~|Early works,Shingon priests--Early works to 1800|~|Buddhist priests--Lineage--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ8998 .K43 1765|~|Jun Suzuki, no.0166",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9919993053606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn13p76/manifest
2002041,Work,ark:/21198/n1r89q,ark:/21198/n1005m,,Kenbun bassui roku | 見聞抜推録,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1005m%2Fsw43zc5x,,見聞拔推錄 [variant title],,Yūmyō | 宥明,,[between 1800 and 1868?],1800/1868,,Record of Contentious [Matters] Heard and Seen|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,47 unnumbered leaves ; 232 x 163 mm,text,Manuscripts,"Shingon (Sect)--Doctrines--Early works to 1800|~|Kūkai, 774-835 Sokushin jōbutsu gi | 空海, 774-835 即身成佛義","Richard C. Rudolph East Asian Library, UCLA","BQ8965 .K46|~|Jun Suzuki, no.0156",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9920020413606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1005m/manifest
2002311,Work,ark:/21198/n1r89q,ark:/21198/n1v63p,,Shūkotsu shō | 宗骨抄,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1v63p%2Fsw43zc5x,,,,"Kenjin, 1192-1263 | 憲深, 1192-1263|~|Kanjun, active 1691-1718 | 寬順, active 1691-1718",,[between 1691 and 1718?],1691/1718,（奥書）「此ノ一巻以　師主前法務御自毫令書写畢／法務寛順」,Summary of Essential Teachings [of the Shingon] School|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,29 unnumbered leaves : illustrations ; 242 x 167 mm,text,Manuscripts|~|Early works,"Shingon (Sect)--Doctrines--Early works to 1800|~|Kūkai, 774-835 Sokushin jōbutsu gi | 空海, 774-835 即身成佛義","Richard C. Rudolph East Asian Library, UCLA","BQ8968 .K46|~|Jun Suzuki, no.0139",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9920023113606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1v63p/manifest
2027738,Work,ark:/21198/n1r89q,ark:/21198/n1b919,,Kōso sentoku kinbun ki | 高祖先徳禁文記,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1b919%2Fsw43zc5x,,高祖先德禁文記 [variable title],,,,[between 1830 and 1868?],1830/1868,（奥書）「（略）天明四甲辰三月廿七日／於同所同寺書写之　仏子良皓」,Written Record of Admonishments of Virtuous Predecessors and Venerable Founders|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,20 unnumbered leaves ; 212 x 158 mm,text,Manuscripts|~|Early works,Shingon (Sect)--Discipline--Early wroks to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ8995 .K67|~|Jun Suzuki, no.0112",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9920277383606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1b919/manifest
2029257,Work,ark:/21198/n1r89q,ark:/21198/n16g8f,,Kōyasan gakuryo gyōnin hijiri sanpa no raiyu | 高野山学侶行人非事吏三派之来由,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn16g8f%2Fsw43zc5x,,高野山学侶行人非事吏三派之來由 [variable title],,"Gyōhan, active 1733-1765 | 行範, active 1733-1765",,Anʼei 7 [1778] | 安永7,1778,（奥書）「于時安永七戌八月八日塩飽浦以西光寺本書也／宝珠山遍照院金光寺行範」,Suzuki subject: 仏教－寺院,,,,,jpn,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,14 unnumbered leaves ; 273 x 205 mm,text,Manuscripts|~|Early works,Shingon priests|~|Japan -- Kōya-chō--Early works to 1800|~|Kōyasan Monasteries (Japan)--History,"Richard C. Rudolph East Asian Library, UCLA","BQ6353.K7 K69 1778|~|Jun Suzuki, no.0232",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9920292573606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn16g8f/manifest
2037296,Work,ark:/21198/n1r89q,ark:/21198/n12s7x,,Kōya zappitsushū | 高野雑筆集,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn12s7x%2Fsw43zc5x,,高野雑筆  [variant title]|~|拾遺性霊集 [variant title],,"Kūkai, 774-835 | 空海, 774-835",Kyoto : Nakano Sōzaemon | 京都 : 中野宗左衛門,Enpō 9 [1681] | 延宝9,1681,（刊記）「延宝九辛酉年四月下旬／中野宗左衛門板行」,Collected Miscellaneous Writings [from Mount] Kōya|~|Suzuki subject: 文学－漢文－総集,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,"27, 19 leaves ; 274 x 192 mm",text,,"Shingon priests--Correspondence|~|Kūkai, 774-835--Correspondence | 空海, 774-835--Correspondence","Richard C. Rudolph East Asian Library, UCLA","BQ8999.K854 K69 1681|~|Jun Suzuki, no.0312",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9920372963606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn12s7x/manifest
2495317,Work,ark:/21198/n1r89q,ark:/21198/n1z03j,,Muensō sahō | 無縁葬作法,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1z03j%2Fsw43zc5x,,无緣葬作法 [variant title],,"Kenshō, 1597-1678 | 顯證, 1597-1678|~|Kyōben, active 1299-1305 | 經弁, active 1299-1305 ",,Keian 1 [1648] | 慶安1,1648,（奥書）「尓時慶安改元之戊子秋八月日於高山寺菴室写出了　金剛仏子顕証五十二」,Funerary Regulations for [Those That] Lack Affinity|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,11 unnumbered leaves : illustrations ; 276 x 198 mm,text,Manuscripts|~|Early works,Buddhist funeral rites and ceremonies--Japan--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ5020 .M84 1648|~|Jun Suzuki, no.0155",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9924953173606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1z03j/manifest
2504615,Work,ark:/21198/n1r89q,ark:/21198/n1t921,,Sokushin jōbutsu gi mondai | 即身成仏義問題,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1t921%2Fsw43zc5x,,即身成佛義問題 [variant title]|~|Sokushin jōbutsugi mondai [variant title],,"Myōhan, active 1240-1255 | 明範, active 1240-1255",,[between 1800 and 1868?],1800/1868,,Questions and Answers on the Meaning of Becoming a Buddha in One’s Very Body|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,10 unnumbered leaves ; 235 x 161 mm,text,Manuscripts|~|Early works,"Shingon (Sect)--Doctrines--Early works to 1800|~|Kūkai, 774-835 Sokushin jōbutsu gi | 空海, 774-835 即身成佛義","Richard C. Rudolph East Asian Library, UCLA","BQ8999.K854 S64436|~|Jun Suzuki, no.0142",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9925046153606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1t921/manifest
2750450,Work,ark:/21198/n1r89q,ark:/21198/n1992c,,Kongōchō bodaishinron ryakki | 金剛頂菩提心論略記,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1992c%2Fsw43zc5x,,,Jin gang ding pu ti xin lun lue ji | 金剛頂菩提心論略記,P'ien-man | 遍滿,Kōyasan : Shōchiin | 高野山 : 正智院,Kaei 6 [1853] | 嘉永6,1853,（刊記）「高野山／正智院蔵」,Abbreviated Account of the Treatise on the Diamond Apex of the Enlightened Mind|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,28 leaves ; 268 x 180 mm,text,,Vajraśeharayogānuttarasamyaksambodhicittotpādaśāstra--CommentariesCommentaries,"Richard C. Rudolph East Asian Library, UCLA","BQ3340.V335 P54 1853|~|Jun Suzuki, no.1279",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9927504503606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1992c/manifest
